id,treatment,age,female,black,hispanic,white,democrat,republican,trans_therm_t0,trans_therm_t1,trans_therm_t2,trans_therm_t3,trans_law_t3,responded_t1,responded_t3
42317,1,20,1,0,1,0,1,0,85,79,83,87,3,1,1
34654,0,75,0,0,1,0,0,1,50,NA,NA,NA,NA,0,0
63142,1,43,0,0,1,0,1,0,76,83,85,69,2,1,1
18181,1,53,1,0,1,0,1,0,100,NA,NA,NA,NA,0,0
21287,1,33,0,0,1,0,1,0,60,NA,NA,NA,NA,0,0
33147,1,21,1,0,1,0,0,1,50,NA,NA,NA,NA,0,0
51553,1,57,0,0,0,1,1,0,100,NA,NA,NA,NA,0,0
32414,1,66,0,0,1,0,0,1,50,NA,NA,NA,NA,0,0
61665,1,39,0,0,1,0,1,0,75,80,NA,NA,NA,1,0
10634,1,53,1,0,1,0,0,0,91,NA,NA,NA,NA,0,0
1366,1,56,0,0,1,0,0,1,100,NA,NA,NA,NA,0,0
27410,1,57,1,0,1,0,1,0,72,NA,NA,NA,NA,0,0
31191,1,31,0,0,1,0,1,0,89,NA,NA,NA,NA,0,0
46630,1,26,0,0,1,0,1,0,61,NA,NA,NA,NA,0,0
42790,1,90,1,0,1,0,0,0,0,NA,NA,NA,NA,0,0
26717,0,19,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0
51429,0,73,1,0,1,0,0,0,50,NA,NA,NA,NA,0,0
10559,1,69,0,0,1,0,1,0,61,NA,NA,NA,NA,0,0
12080,1,63,1,0,1,0,1,0,100,NA,NA,NA,NA,0,0
16126,0,49,1,0,0,1,1,0,50,NA,NA,NA,NA,0,0
46600,0,65,1,0,0,1,1,0,80,NA,NA,NA,NA,0,0
9452,1,27,1,0,1,0,0,1,50,NA,NA,NA,NA,0,0
13539,1,65,1,0,0,1,0,1,10,NA,NA,NA,NA,0,0
14811,0,33,1,0,1,0,0,1,50,NA,NA,NA,NA,0,0
61724,0,44,1,0,1,0,1,0,52,NA,NA,NA,NA,0,0
14218,1,47,1,0,1,0,1,0,100,NA,NA,NA,NA,0,0
38471,1,21,0,0,1,0,0,0,100,NA,100,NA,NA,0,0
60238,1,53,0,0,1,0,0,1,50,NA,NA,NA,NA,0,0
53669,1,46,1,0,1,0,1,0,50,NA,NA,NA,NA,0,0
30237,0,73,0,0,1,0,0,1,50,NA,NA,NA,NA,0,0
51033,0,71,1,0,1,0,0,1,50,NA,NA,NA,NA,0,0
10124,1,46,0,0,0,1,1,0,88,NA,NA,NA,NA,0,0
57821,1,52,1,0,1,0,1,0,50,NA,NA,NA,NA,0,0
30705,0,22,0,0,1,0,0,0,46,64,67,60,3,1,1
18893,0,54,1,0,1,0,1,0,70,NA,NA,NA,NA,0,0
19910,0,85,1,0,0,1,1,0,50,NA,NA,NA,NA,0,0
28784,0,37,1,0,1,0,1,0,82,NA,NA,NA,NA,0,0
53819,0,42,1,0,1,0,0,0,59,NA,NA,NA,NA,0,0
24962,0,27,1,0,1,0,1,0,50,NA,NA,NA,NA,0,0
6420,1,38,1,0,1,0,0,1,50,50,NA,NA,NA,1,0
63392,1,70,0,0,1,0,0,1,0,13,0,0,-3,1,1
61920,1,59,1,0,1,0,0,1,52,50,3,0,0,1,1
60577,1,33,1,0,0,1,0,0,89,90,87,97,3,1,1
68345,1,32,0,0,0,1,0,0,50,50,50,40,0,1,1
47648,1,36,1,0,0,1,0,0,100,NA,NA,NA,NA,0,0
28102,1,50,0,0,1,0,0,1,65,NA,NA,NA,NA,0,0
66034,1,34,0,0,1,0,0,1,50,NA,NA,NA,NA,0,0
64801,1,25,1,0,0,1,0,0,50,NA,NA,NA,NA,0,0
20405,1,73,0,0,1,0,0,1,0,0,0,0,-3,1,1
51288,1,67,1,0,1,0,1,0,50,NA,NA,NA,NA,0,0
6741,1,64,0,0,1,0,1,0,52,NA,NA,NA,NA,0,0
39786,1,20,1,0,1,0,0,0,5,0,0,NA,NA,1,0
51102,1,54,0,0,1,0,0,0,0,0,0,NA,NA,1,0
17331,1,54,1,0,1,0,0,0,3,NA,NA,NA,NA,0,0
15434,1,39,1,0,1,0,0,1,50,NA,NA,NA,NA,0,0
36736,0,55,1,0,0,1,1,0,96,89,96,93,3,1,1
33710,0,60,0,0,1,0,0,0,50,50,60,78,2,1,1
20158,1,67,0,0,0,1,1,0,60,70,61,50,2,1,1
20029,0,21,1,0,1,0,0,1,32,NA,NA,NA,NA,0,0
60987,0,38,1,0,1,0,1,0,50,NA,NA,NA,NA,0,0
55434,0,70,1,0,1,0,1,0,54,NA,NA,NA,NA,0,0
59473,1,74,0,0,0,1,0,1,0,50,29,50,1,1,1
28005,1,48,1,0,1,0,0,0,50,81,83,83,3,1,1
25821,1,50,0,0,1,0,1,0,20,52,50,50,2,1,1
67999,1,40,0,0,1,0,0,0,50,100,100,100,3,1,1
11323,1,46,1,0,1,0,0,1,50,100,88,100,3,1,1
20275,1,53,0,0,1,0,1,0,83,NA,NA,NA,NA,0,0
41168,1,20,0,0,1,0,0,1,73,NA,NA,NA,NA,0,0
18885,1,51,0,0,1,0,0,1,0,NA,NA,NA,NA,0,0
27756,1,34,1,0,1,0,0,1,50,NA,NA,NA,NA,0,0
36643,0,53,1,0,0,1,1,0,42,NA,NA,NA,NA,0,0
6906,0,30,0,0,1,0,1,0,100,NA,NA,NA,NA,0,0
41904,0,34,0,0,0,1,1,0,100,NA,NA,NA,NA,0,0
8234,1,74,0,0,0,1,1,0,50,96,50,91,3,1,1
38121,1,40,0,0,1,0,0,0,50,NA,NA,NA,NA,0,0
46683,0,29,0,0,1,0,0,1,63,NA,NA,NA,NA,0,0
12193,0,32,1,0,1,0,0,1,100,NA,NA,NA,NA,0,0
61486,0,64,0,0,1,0,1,0,50,NA,NA,NA,NA,0,0
47547,1,26,1,0,1,0,0,1,93,100,100,100,3,1,1
6253,0,54,1,0,1,0,0,1,50,50,NA,50,2,1,1
65825,1,44,0,0,0,1,0,0,80,75,90,85,2,1,1
18505,1,78,1,0,0,1,1,0,50,50,50,50,0,1,1
15173,1,79,0,0,0,1,1,0,50,50,50,50,1,1,1
18190,0,79,1,0,1,0,0,1,21,50,50,45,0,1,1
33741,0,39,1,0,0,1,0,0,50,50,50,55,3,1,1
48214,0,52,1,0,1,0,0,0,42,NA,NA,NA,NA,0,0
23534,0,62,0,0,1,0,1,0,4,NA,NA,NA,NA,0,0
29283,0,33,0,0,1,0,0,0,16,NA,NA,NA,NA,0,0
48485,0,22,1,0,1,0,1,0,96,NA,NA,NA,NA,0,0
41899,0,36,1,0,1,0,0,0,50,NA,NA,NA,NA,0,0
